model,target_fps,optimization_mode,n_validation_recordings,mean_F1,median_F1,std_F1,mean_precision,mean_recall,mean_median_abs_timing_error_sec,median_median_abs_timing_error_sec,mean_signed_timing_error_sec,mean_timing_weighted_recall,median_timing_weighted_recall,smoothing_window_sec,derivative_weight,amplitude_weight,event_score_threshold,baseline_min_event_distance_sec,ar_model,method,optimize_b,optimize_pars,oasis_threshold_z,oasis_min_event_distance_sec,mlspike_use_autocalibration,mlspike_a,mlspike_tau,mlspike_sigma,mlspike_saturation,mlspike_drift_parameter,mlspike_amin,mlspike_amax,mlspike_taumin,mlspike_taumax
SimpleBaseline,10,spike_bins,14,0.373125787534798,0.386790190082149,0.122045230195505,0.727585238144632,0.301731051891546,0,0,0.0162421517571938,0.221460789995373,0.216300036126595,0.1,0.5,0.5,1.2,0.03,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,10,spike_bins,14,0.373125787534798,0.386790190082149,0.122045230195505,0.727585238144632,0.301731051891546,0,0,0.0162421517571938,0.221460789995373,0.216300036126595,0.1,0.5,0.5,1.2,0.05,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,10,spike_bins,14,0.373125787534798,0.386790190082149,0.122045230195505,0.727585238144632,0.301731051891546,0,0,0.0162421517571938,0.221460789995373,0.216300036126595,0.1,0.5,0.5,1.2,0.08,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,10,spike_bins,14,0.373125787534798,0.386790190082149,0.122045230195505,0.727585238144632,0.301731051891546,0,0,0.0162421517571938,0.221460789995373,0.216300036126595,0.1,0.5,0.5,1.2,0.1,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,10,spike_bins,14,0.353676098820946,0.35331992456785,0.132046690129624,0.727160385007565,0.282056412828647,0.00714284895184805,0,0.0159513311210084,0.208010086663795,0.193902513515109,0.1,0.5,0.5,1.2,0.15,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,10,spike_bins,14,0.358066871502342,0.360761028402963,0.121002640646783,0.749716348100657,0.277098869976988,0,0,0.0158180351981222,0.206752210506356,0.197885333239907,0.1,0.5,0.5,1.3,0.03,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,10,spike_bins,14,0.358066871502342,0.360761028402963,0.121002640646783,0.749716348100657,0.277098869976988,0,0,0.0158180351981222,0.206752210506356,0.197885333239907,0.1,0.5,0.5,1.3,0.05,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,10,spike_bins,14,0.358066871502342,0.360761028402963,0.121002640646783,0.749716348100657,0.277098869976988,0,0,0.0158180351981222,0.206752210506356,0.197885333239907,0.1,0.5,0.5,1.3,0.08,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,10,spike_bins,14,0.358066871502342,0.360761028402963,0.121002640646783,0.749716348100657,0.277098869976988,0,0,0.0158180351981222,0.206752210506356,0.197885333239907,0.1,0.5,0.5,1.3,0.1,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,10,spike_bins,14,0.339645767663297,0.337305551591266,0.130460261748659,0.749179809578834,0.259679322141043,0.00714284895184805,0,0.0156854454071202,0.194283632348352,0.177041857653923,0.1,0.5,0.5,1.3,0.15,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,10,spike_bins,14,0.340829414368705,0.343620754012691,0.13060432249449,0.764135183655797,0.252812568212473,0.00357142447592402,0,0.0154943748149694,0.191882091770628,0.177240848075213,0.1,0.5,0.5,1.4,0.03,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
